index,EquipmentId,OrganizationId,ClassificationID,EquipmentName,VIN,LicensePlate,AgencyId,DOTId,FundedByDOT,FundingProgramId,GrantIdPrimary,OtherGrantPrimary,GrantIdSecondary,OtherGrantSecondary,DOTContractId,OtherDOTContract,UPIN,Quantity,AverageCostPerUnit,TotalCost,FederalShare,FederalSharePercent,StateShare,StateSharePercent,LocalShare,LocalSharePercent,TDCShare,TDCSharePercent,DOTCapitalResponsibility,OrganizationCapitalResponsibility,OtherCapitalResponsibility,OtherCapitalResponsibilityOrg,EquipmentClassID,EquipmentTypeID,EquipmentTypeOther,Manufacturer,Model,EquipmentYear,SerialNumber,EquipmentStatusId,ImprovementTypeId,CurrentCondition,CurrentConditionDate,ConditionRatingId,CurrentMileage,CurrentMileageDate,YearOfRenewal,RenewalTypeId,PurchaseOrderNumber,PurchaseOrderDate,Vendor,ReceivedDate,LastInspectionDate,NextInspectionDate,VehicleLocationStreet,VehicleLocationCity,VehicleLocationState,InServiceDate,AverageEstimatedServiceYearsWhenNew,UsefulLifeYearsRemaining,OutOfServiceDate,IsDOTLienHolder,IsTitleOnFileWithDOT,TitleNumber,RegistrationNumber,Comments,DispositionDate,sys_ModifiedUserId
77,85,3985,1,EXCEED Perris #710,1FDEE3FL2CDA02710,89875D1,#710,,True,35,61,,,,,,,1,,,,,,,,,,,,,,,1,2,,Ford,E-350 Bus,2012,,1,1,3.0,8/22/2019 12:00:00 AM,2,171117,7/31/2019 12:00:00 AM,,,,,,,,,,,,12/29/2011 12:00:00 AM,14,7,,False,False,,,,,2440
78,86,3985,1,EXCEED Perris #801,1FDFE4FS0BDB26801,89879D1,#801,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Ford,E-450 Bus,2011,,2,1,1.0,8/22/2019 12:00:00 AM,5,146961,8/15/2019 12:00:00 AM,,,,,,,,,1285 N. Santa Fe St.,Hemet,CA,12/29/2011 12:00:00 AM,14,8,8/22/2019 12:00:00 AM,False,False,,,,,2440
79,87,3985,1,EXCEED Hemet #974,1FDEE3FL3CDA02974,89877D1,#974,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Ford,E-350 Bus,2011,,1,1,2.5,8/22/2019 12:00:00 AM,3,74533,8/29/2019 12:00:00 AM,,,,,,,,,1285 North Santa Fe St.,Hemet,CA,12/29/2011 12:00:00 AM,14,8,,True,True,,,,,2440
80,88,3985,1,EXCEED Casa #401,1D4GP24R76B548401,9763GDP,#401,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Dodge,Caravan,2006,,1,1,1.0,8/22/2019 12:00:00 AM,4,91413,8/29/2019 12:00:00 AM,,,,,,,,,1285 North Santa Fe St.,Hemet,,2/1/2006 12:00:00 AM,14,13,,False,False,,,,,2440
81,89,3755,2,Bus Washer ,,,,,True,33,0,ARRA,,,,,,1,,35678.00,35678.00,100.00,,,,,,,,,,,4,15,,Unknown ,,2010,,2,3,2.5,,4,,,,,,,,,,,,,,10/2/2010 12:00:00 AM,,,,False,False,,,,,2734
82,91,3755,2,Transit Shelter,,,,,True,29,0,CA-90-X948,0,LTF,,,,,,7400.00,5920.00,80.00,,,1480.00,20.00,,,,,,,4,10,,Unknown ,,1998,,1,,,,,,,,,,,,,,,,,,4/1/1998 12:00:00 AM,,,,False,,,,,,2734
83,92,3755,2,Transit Shelters ,,,,,True,29,0,CA-90-X948,0,LTF,,,,5,4543.57,22717.00,18173.00,80.00,,,4543.00,20.00,,,,,,,4,10,,Unknown ,,1998,,1,,,,,,,,,,,,,,,,,,4/6/1998 12:00:00 AM,,,,False,,,,,,2734
84,93,3755,2,Transit Shelters ,,,,,True,29,0,CA-90-X948,0,LTF,,,,4,4743.14,18972.00,15177.00,80.00,,,3794.00,20.00,,,,,,,4,10,,Unknown ,,1999,,1,,,,,,,,,,,,,,,,,,5/25/1999 12:00:00 AM,,,,False,,,,,,2734
85,94,3755,2,Transit Shelters,,,,,True,29,0,CA-90-Y034,0,LTF,,,,14,3998.65,55981.00,44784.00,80.00,,,11196.00,20.00,,,,,,,4,10,,Unknown ,,2000,,1,,,,,,,,,,,,,,,,,,7/1/2000 12:00:00 AM,,,,False,,,,,,2734
86,95,3755,2,Transit Shelters,,,,,True,29,0,CA-90-Y384,0,LTF,,,,10,5411.91,54119.00,43295.00,80.00,,,10823.00,20.00,,,,,,,4,10,,OASIS ,,2004,,1,,,,,,,,,,,,,,,,,,4/13/2004 12:00:00 AM,,,,False,,,,,,2734
87,96,3755,2,Transit Shelters,,,,,False,29,0,CA-90-Y425,0,LTF,,,,5,5437.80,27189.00,21751.00,80.00,,,5437.00,20.00,,,,,,,4,10,,Oasis,,2005,,1,,,,,,,,,,,,,,,,,,6/17/2005 12:00:00 AM,,,,False,,,,,,2734
88,97,3755,2,Transit Shelters,,,,,True,29,0,CA-90-Y552,0,LTF,,,,9,5288.46,47596.00,38076.00,80.00,,,9519.00,20.00,,,,,,,4,10,,OASIS ,,2010,,1,,,,,,,,,,,,,,,,,,4/2/2010 12:00:00 AM,,,,False,,,,,,2734
89,98,3755,2,Transit Shelters,,,,,True,29,,,,,,,,3,4097.01,12291.00,9832.00,79.99,,,2458.00,20.00,,,,,,,4,10,,Oasis,,2003,,1,,,,,,,,,,,,,,,,,,5/16/2003 12:00:00 AM,,,,False,,,,,,2734
90,99,3755,2,Transit Shelters,,,,,False,,,,,,,,,12,5437.80,65253.00,52202.00,80.00,,,13050.00,20.00,,,,,,,4,10,,Unknown ,,2005,,1,,,,,,,,,,,,,,,,,,6/17/2005 12:00:00 AM,,,,False,,,,,,2734
91,100,3755,2,Transit Shelters,,,,,False,,,,,,,,,17,4873.13,82843.00,66274.00,80.00,,,16568.00,20.00,,,,,,,4,10,,Unknown ,,2007,,1,,,,,,,,,,,,,,,,,,6/30/2007 12:00:00 AM,,,,False,,,,,,2734
92,101,3755,2,Transit Shelters,,,,,False,,,,,,,,,14,5491.46,76880.00,,,,,,,,,,,,,4,10,,Oasis,,2008,,1,,,,,,,,,,,,,,,,,,7/22/2008 12:00:00 AM,,,,False,,,,,,2734
93,102,3755,2,Transit Shelters,,,,,True,29,,,,,,,,9,4434.34,39909.00,,,,,,,,,,,,,4,10,,Oasis,,2010,,1,,,,,,,,,,,,,,,,,,4/2/2010 12:00:00 AM,,,,False,,,,,,2734
94,104,3755,2,Transit Shelter ,,,,,True,29,,,,,,,,1,,6528.00,,,,,,,,,,,,,4,10,,Unknown ,,1998,,1,,,,,,,,,,,,,,,,,,3/17/1998 12:00:00 AM,,,,False,,,,,,2734
95,105,3755,2,Transit Shelter ,,,,,True,29,,,,,,,,1,,6753.00,,,,,,,,,,,,,4,10,,Unknown ,,2000,,1,,,,,,,,,,,,,,,,,,7/1/2000 12:00:00 AM,,,,False,,,,,,2734
96,106,3755,2,Transit Shelters,,,,,True,29,,,,,,,,2,5057.97,10115.00,,,,,,,,,,,,,4,10,,Oasis,,2003,,1,,,,,,,,,,,,,,,,,,5/16/2003 12:00:00 AM,,,,False,,,,,,2734
97,108,3755,2,GA Printing Encoding Machine ,,,,,False,,0,CA-95-X017,0,LTF,,,,1,,14147.00,,,,,,,,,,,,,4,14,Office Equipment ,Unknown ,,2009,,1,,,,,,,,,,,,,,,,,,6/30/2009 12:00:00 AM,,,,False,,,,,,2734
98,109,3709,1,2015 Ford Shop Truck,1FDRF3B64FEB32470,1250080,1,,True,27,,,,,,,,,,40000.00,,,,,,,,,100.00,0.00,,,1,2,,Ford,,2015,,1,,3.0,11/21/2019 12:00:00 AM,1,,,,,,,,,,,,,,,14,,,False,,,,,,2311
99,110,3951,2,Mobile Radio,,,,,True,23,0,61,,,,,,,,4000.00,3541.00,88.53,,,459.00,11.48,,,,,,,3,6,,Crystal Communications,,2015,,1,1,4.5,4/5/2018 12:00:00 AM,1,,,,,,,,,7/30/2015 12:00:00 AM,7/30/2018 12:00:00 AM,,,,,,,,False,False,,,,,2788
